,NOM_GEO,AMBITO,GRID_NUMBER,Lat,long,X_GSR80,Y_GSR80,SQUARE_POLYGON,geometry,CENTROID,GRID_VAL
2713,Álvaro Obregón,Urbana,GRID_2713,19.363375540483123,-99.24488397471022,821188.8584998957,2788617.890100001,"POLYGON ((820788.8584998957 2788217.890100001, 821588.8584998957 2788217.890100001, 821588.8584998957 2789017.890100001, 820788.8584998957 2789017.890100001, 820788.8584998957 2788217.890100001))","POLYGON ((-99.24877463408905 19.35982201692447, -99.24862815254751 19.36344510851352, -99.24488387313896 19.36337549758968, -99.24495731705227 19.35968280363759, -99.24877463408905 19.35982201692447))",POINT (-99.2468053596283823 19.3615751437521837),SI
2714,Álvaro Obregón,Urbana,GRID_2714,19.363305883484017,-99.24106655805704,821188.8584998957,2789017.890100001,"POLYGON ((820788.8584998957 2788617.890100001, 821588.8584998957 2788617.890100001, 821588.8584998957 2789417.890100001, 820788.8584998957 2789417.890100001, 820788.8584998957 2788617.890100001))","POLYGON ((-99.24495731510025 19.35975245849491, -99.24481063041587 19.36337554794527, -99.24106645648608 19.36330584058777, -99.24114000197019 19.35961305235262, -99.24495731510025 19.35975245849491))",POINT (-99.2429879592866939 19.3615055026971064),SI
2715,Álvaro Obregón,Urbana,GRID_2715,19.363236130054307,-99.2372491453136,821188.8584998957,2789417.890100001,"POLYGON ((820788.8584998957 2789017.890100001, 821588.8584998957 2789017.890100001, 821588.8584998957 2789817.890100001, 820788.8584998957 2789817.890100001, 820788.8584998957 2789017.890100001))","POLYGON ((-99.24114000001549 19.35968280363759, -99.24099311218887 19.36330589094624, -99.23724904374295 19.36323608715527, -99.23732269079755 19.35954320464019, -99.24114000001549 19.35968280363759))",POINT (-99.2391705628538858 19.3614357652112972),SI
2716,Álvaro Obregón,Urbana,GRID_2716,19.36316628019417,-99.23343173648529,821188.8584998957,2789817.890100001,"POLYGON ((820788.8584998957 2789417.890100001, 821588.8584998957 2789417.890100001, 821588.8584998957 2790217.890100001, 820788.8584998957 2790217.890100001, 820788.8584998957 2789417.890100001))","POLYGON ((-99.23732268884015 19.35961305235262, -99.23717559787191 19.36323613751663, -99.23343163491495 19.36316623729232, -99.23350538353974 19.35947326050048, -99.23732268884015 19.35961305235262))",POINT (-99.2353531703353440 19.3613659312949018),SI
2717,Álvaro Obregón,Urbana,GRID_2717,19.363096333903783,-99.2296143315775,821188.8584998957,2790217.890100001,"POLYGON ((820788.8584998957 2789817.890100001, 821588.8584998957 2789817.890100001, 821588.8584998957 2790617.890100001, 820788.8584998957 2790617.890100001, 820788.8584998957 2789817.890100001))","POLYGON ((-99.23350538157962 19.35954320464019, -99.23335808747041 19.36316628765657, -99.22961423000747 19.36309629099912, -99.22968808020212 19.35940321993362, -99.23350538157962 19.35954320464019))",POINT (-99.2315357817364685 19.3612960009480943),SI
2718,Álvaro Obregón,Urbana,GRID_2718,19.36302629118332,-99.22579693059566,821188.8584998957,2790617.890100001,"POLYGON ((820788.8584998957 2790217.890100001, 821588.8584998957 2790217.890100001, 821588.8584998957 2791017.890100001, 820788.8584998957 2791017.890100001, 820788.8584998957 2790217.890100001))","POLYGON ((-99.22968807823932 19.35947326050048, -99.22954058098973 19.36309634136625, -99.22579682902594 19.36302624827585, -99.22587078079016 19.35933308293983, -99.22968807823932 19.35947326050048))",POINT (-99.2277183970626595 19.3612259741710595),SI
2719,Álvaro Obregón,Urbana,GRID_2719,19.362956152032908,-99.22197953354517,821188.8584998957,2791017.890100001,"POLYGON ((820788.8584998957 2790617.890100001, 821588.8584998957 2790617.890100001, 821588.8584998957 2791417.890100001, 820788.8584998957 2791417.890100001, 820788.8584998957 2790617.890100001))","POLYGON ((-99.22587077882464 19.35940321993362, -99.22572307843532 19.36302629864583, -99.22197943197575 19.36295610912264, -99.2220534853092 19.35926284951929, -99.22587077882464 19.35940321993362))",POINT (-99.2239010163193740 19.3611558509639536),SI
2720,Álvaro Obregón,Urbana,GRID_2720,19.36288591645277,-99.2181621404314,821188.8584998957,2791417.890100001,"POLYGON ((820788.8584998957 2791017.890100001, 821588.8584998957 2791017.890100001, 821588.8584998957 2791817.890100001, 820788.8584998957 2791817.890100001, 820788.8584998957 2791017.890100001))","POLYGON ((-99.222053483341 19.35933308293983, -99.22190557981257 19.36295615949553, -99.21816203886232 19.36288587353971, -99.2182361937647 19.35919251967213, -99.222053483341 19.35933308293983))",POINT (-99.2200836395119978 19.3610856313269650),SI
2721,Álvaro Obregón,Urbana,GRID_2721,19.362815584443084,-99.2143447512598,821188.8584998957,2791817.890100001,"POLYGON ((820788.8584998957 2791417.890100001, 821588.8584998957 2791417.890100001, 821588.8584998957 2792217.890100001, 820788.8584998957 2792217.890100001, 820788.8584998957 2791417.890100001))","POLYGON ((-99.21823619179378 19.35926284951929, -99.21808808512687 19.36288592391547, -99.21434464969103 19.36281554152721, -99.21441890616201 19.35912209339855, -99.21823619179378 19.35926284951929))",POINT (-99.2162662666458601 19.3610153152602606),SI
2722,Álvaro Obregón,Urbana,GRID_2722,19.362745156003985,-99.21052736603572,821188.8584998957,2792217.890100001,"POLYGON ((820788.8584998957 2791817.890100001, 821588.8584998957 2791817.890100001, 821588.8584998957 2792617.890100001, 820788.8584998957 2792617.890100001, 820788.8584998957 2791817.890100001))","POLYGON ((-99.21441890418839 19.35919251967213, -99.21427059438363 19.36281559190586, -99.21052726446729 19.36274511308532, -99.21060162250657 19.3590515706987, -99.21441890418839 19.35919251967213))",POINT (-99.2124488977264605 19.3609449027640146),SI
