,Fecha,Titulo,Desripcion,Empresa
95,"Hoy, 08:36 a. m.",Empleo de Psicólogo/a - Con experiencia en estudios de mercados,Se requiere Psicóloga con experiencia en estudios de mercado. Dominio de técnicas y métodos cualitativos. Amplia.., Consenso  S.A.S
96,"Hoy, 08:36 a. m.",Empleo de Auxiliar de tecnico - Aire Acondicionado y refrigeración.,Se requiere auxiliar técnico con conocimientos básicos en aire acondicionado para laborar en importante empresa de.., GESTION Y COMPROMISO
97,"Hoy, 08:36 a. m.",Empleo de Asesor Comercial - Medellin,"Importante academia de lenguas, se encuentra en la búsqueda de ANALISTA FINANCIERO, debe ser Profesional en..", AMERICAN SCHOOL WAY
98,"Hoy, 08:36 a. m.",Empleo de Operario/a de máquinas de confección,Gran oportunidad laboral para personas con experiencia en manejo de máquinas de confección. Especialmente con.., Mision Empresarial S.A
99,"Hoy, 08:36 a. m.",Empleo de Mecánico Guarne - Se solicitan técnicos o tecnologos en mecánica,PERFIL: Se solicitan técnicos o tecnologos con mínimo 3 años de experiencia en mantenimiento en plantas de producción..., Empacor
100,"Hoy, 08:36 a. m.",Empleo de Repostera,"Se requiere personal con experiencia en panadería y repostería con una experiencia mínima de un año en el cargo, debe..", Contrate SA
101,"Hoy, 08:36 a. m.",Empleo de Impulsadora de Belleza,"Importante empresa del sector de trade marketing, requiere para su equipo de trabajo, impulsadoras con manejo de..", PUNTOMERCA MERCHANDISING S.A.
102,"Hoy, 08:36 a. m.",Empleo de Operador de Medios Tecnológicos - Santafe de Antioquia,"Importante empresa del sector de la seguridad privada, requiere para vincular a su equipo de trabajo OMT(Operador de..", SERACIS LTDA
103,"Hoy, 08:36 a. m.",Empleo de Aprendiz Gestión Humana - Medellín,"Estudiantes de técnica en gestión humana o áreas administrativas, con disponibilidad de iniciar etapa productiva en el..", SUMMAR TEMPORALES SAS
104,"Hoy, 08:34 a. m.",Empleo de Conductor Transporte Especial Area Salud - Medellin,"La Empresa De Transporte Especial San Gabriel, Se Encuentra En La Búsqueda De Personas Dinámicas y Responsables Para..", PERFORMIA COLOMBIA  S.A.S.
105,"Hoy, 08:32 a. m.",Empleo de Aprendiz Seguridad y salud en el trabajo / Practicas - tecnicos o tecnologos / Contrato de aprendizaje,Reconocida empresa de soluciones logísticas y te invita a ser parte de su equipo de trabajo: requerimos aprendices.., Coltanques
106,"Hoy, 08:21 a. m.","Empleo de Conductor Van Buseta / C1 C2 - Mercancías, paqueteo, mensajería",Reconocida empresa de soluciones logísticas y te invita a ser parte de su equipo de trabajo: requerimos conductores.., Coltanques
107,"Hoy, 08:15 a. m.",Empleo de Operario de aseo - para laborar en Rionegro,"Importante empresa especializada en la prestación de servicios de aseo, requiere para su equipo de trabajo operarios..", DIAMANTE
108,"Hoy, 08:11 a. m.","Empleo de Conductor C2 / NPR Furgon - Mercancías, paquetes, mensajería",Reconocida empresa de soluciones logísticas y te invita a ser parte de su equipo de trabajo: requerimos conductores.., Coltanques
109,"Hoy, 08:10 a. m.",Empleo de Licencia C3 Operador de Retroexcavadora,"Importante empresa del sector de la construcción solicita para su grupo de trabajo OPERARIO RETRO-EXCAVADORA, que..",
110,"Hoy, 08:06 a. m.",Empleo de Supervisor Comercial Poblaciones Medellin,"Urgente Importante empresa de telecomunicaciones solicita para el cargo de Supervisor de DistribuciónMedellin, Con..", SU EMPLEO OPORTUNO S.A.S.
111,"Hoy, 08:06 a. m.","Empleo de Asesor comercial - tecnología, sistemas o equipos de oficina",Nombre del cargo:Asesora Comercial Objetivo del cargo: Realizar todo tipo de venta de equipos de impresión y sus..,
112,"Hoy, 08:06 a. m.",Empleo de representante de ventas - ventas,"Actitud de líder, proactividad, efectividad comercial, responsable, dinámico, excelente comunicación, claridad en..",
113,"Hoy, 08:06 a. m.",Empleo de Asesor Call Center Comercial,"mportante empresa Multinacional requiere para su equipo de trabajo, personal con formación mínima de bachiller, para..",
114,"Hoy, 08:05 a. m.",Empleo de Sin Experiencia Asesores Comerciales Externos  - Medellín ,Importante empresa de telecomunicaciones requiere para su equipo de trabajo personalentre los 18 y 40 años de edad.., SILEC COMUNICACIONES S.A.S
115,"Hoy, 08:03 a. m.",Empleo de Desarrollador Semi Senior,"Si buscas trabajar con tecnologías que dan solución a los retos que nos presenta el mundo moderno, esta oportunidad es..",
116,"Hoy, 07:58 a. m.",Empleo de Soldador por proceso SMAW - Medellín,"Importante empresa requiere SOLDADORES con formación; Técnico En Soldadura, En Operación De Procesos De Soldadura, En..",
117,"Hoy, 07:57 a. m.",Empleo de Soldador por proceso SMAW - Medellín,"Importante empresa requiere SOLDADORES con formación; Técnico En Soldadura, En Operación De Procesos De Soldadura, En..",
118,"Hoy, 07:56 a. m.",Empleo de Sin Experiencia Asesores Comerciales Externos En Calle - Medellín,¿No tienes experiencia?¡¡Silec te da la oportunidad de primer empleo o adquirir más experiencia!!  Importante empresa.., SILEC COMUNICACIONES S.A.S
119,"Hoy, 07:56 a. m.",Empleo de Analista de Operaciones - Ventas de Retail,"Requerimos profesional enadministración, negocios, ventas, mercadeo o áreas afines. con experiencia laboral mínima de..", Supermercados Euro S.A
120,"Hoy, 07:56 a. m.",Empleo de Practicante Calidad,"Importante empresa del sector Retail, requiere para su equipo de trabajo estudiantes tecnologos en Calidad que se..",
121,"Hoy, 07:56 a. m.",Empleo de Mensajero,"Importante empresa requiere para su equipo de trabajo personal con experiencia en Mensajería promedio de 1 año,..", Adecco Colombia S.A.
122,"Hoy, 07:56 a. m.",Empleo de HR Business Partner,"En BairesDev buscamos un HRBP para sumarse a nuestro equipo. Orientamos la búsqueda a personas proactivas y dinámicas,..",
123,"Hoy, 07:56 a. m.",Empleo de Supervisor de ventas,"Importante multinacional Cargill - Pollos Bucanero requiere para su equipo de trabajo profesional en mercadeo, ventas..", POLLOS EL BUCANERO
124,"Hoy, 07:55 a. m.",Empleo de Operador Cargador ,"Empresa del sector de construcción civil requiere persona con estudios básicos, Certificado de Competencia en..",
125,"Hoy, 07:55 a. m.",Empleo de Profesional Estadistico - Con experiencia en estudios de mercados,"Se requiere estadístico con experiencia en estudios de mercado. Dominio de SPSS, destreza en larealización de análisis..", Consenso  S.A.S
126,"Hoy, 07:55 a. m.",Empleo de Director administrativo - Profesional con 2 años de experiencia laboral en cargos afines y manejo de personal,"Empresa dedicada la ejecución de proyectos en el sector eléctrico y telecomunicaciones en Medellín, busca integrara a..",
127,"Hoy, 07:55 a. m.",Empleo de Domiciliario - Con Moto,Importante empresa de alimentos con sede en Guayabal y Los Colores solicita domiciliarios con moto con mínimo un año.., GESTION Y COMPROMISO
128,"Hoy, 07:55 a. m.",Empleo de Auxiliar de cocina,Importante empresa del sector textil requiere Auxiliar de cocina con mínimo un año de experiencia en el cargo..., Mision Empresarial S.A
129,"Hoy, 07:55 a. m.",Empleo de Ejecutivo de Ventas Viajero - Nordeste Antioqueño,"Importante empresa nacional del sector Ferretero y de la Construcción, requiere para formar parte de su equipo de..", MEICO S.A.
130,"Hoy, 07:55 a. m.",Empleo de Cosmetóloga ,"Empresa líder en el mercado, requiere cosmetólogastituladas con experiencia comprobada en procedimientos faciales..",
131,"Hoy, 07:55 a. m.",Empleo de fisioterapeuta - Especialista en SST,"Importante compañía requiere para su equipo de trabajo, Profesional en fisioterapia, especialista en seguridad y..",
132,"Hoy, 07:55 a. m.",Empleo de Practicante de topografía ,Importante empresa minera requiere de estudiante disponibles para iniciar practicas en topografia .  Debe de tener..,
133,"Hoy, 07:55 a. m.",Empleo de Auxiliar de Bodega Cuartos Fríos,"Importante empresa avícola Solicita Hombres Bachilleres, con experiencia mínima de 6 meses en bodega RECIENTE Y..", Multiempleos S.A.
